"name","address","city","state","zip","country","hours","google_url","phone","website","place_id"
"Minnesota River Valley Specialties Ed","100 Hope Ave","Jordan","MN","55352","US","","https://maps.google.com/?cid=17889113491709105439","952-492-3030","http://www.swmetro.k12.mn.us/","ChIJ_QiA18MM9ocRHxX4q_DlQvg"
"Minnesota River Valley Special Education Cooperative","100 Hope Ave","Jordan","MN","55352","US","","https://maps.google.com/?cid=17968777759248605059","952-492-3030","http://www.swmetro.k12.mn.us/","ChIJ_QiA18MM9ocRg9_zWyvsXfk"
"Jordan Middle School","500 Sunset Dr","Jordan","MN","55352","US","","https://maps.google.com/?cid=7155995966783209692","952-492-2332","http://www.jordan.k12.mn.us/","ChIJod1uO8AM9ocR3MA97mo0T2M"
"Jordan Community Education","500 Sunset Dr","Jordan","MN","55352","US","","https://maps.google.com/?cid=2888519375660899677","952-492-6211","http://www.jordan.k12.mn.us/","ChIJod1uO8AM9ocRXd0ZcREVFig"
"Raven Stream Elementary School","300 11th Ave NW","New Prague","MN","56071","US","<ul><li>Monday: 7:30 AM – 4:15 PM</li><li>Tuesday: 7:30 AM – 4:15 PM</li><li>Wednesday: 7:30 AM – 4:15 PM</li><li>Thursday: 7:30 AM – 4:15 PM</li><li>Friday: 7:30 AM – 4:15 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=14390121967532203925","952-758-1500","http://www.npaschools.org/raven-stream","ChIJDQIuJ8Fx9ocRlV9N9a_7s8c"
"New Prague Senior High School","221 12th St NE","New Prague","MN","56071","US","","https://maps.google.com/?cid=11417639098618138858","952-758-1200","http://www.npaschools.org/","ChIJmaNjVwNu9ocR6tC-VkSac54"
"Early Childhood Family Educ","1234 Columbus Ave N","New Prague","MN","56071","US","","https://maps.google.com/?cid=11630392427561783165","952-758-1670","","ChIJs0DcLBtu9ocRfY8220p0Z6E"
"Falcon Ridge Elementary School","1200 Columbus Ave N","New Prague","MN","56071","US","<ul><li>Monday: 7:30 AM – 4:15 PM</li><li>Tuesday: 7:30 AM – 4:15 PM</li><li>Wednesday: 7:30 AM – 4:15 PM</li><li>Thursday: 7:30 AM – 4:15 PM</li><li>Friday: 7:30 AM – 4:15 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=17227502982684372682","952-758-1600","http://www.npaschools.org/falcon-ridge","ChIJBZDCqB5u9ocRym7iAbBiFO8"
"New Prague Primary School","","New Prague","MN","56071","US","","https://maps.google.com/?cid=7108819908389857493","","","ChIJl5AUFxlu9ocR1WjN4wqap2I"
"New Prague Area Schools, Transportation","105 7th St NE","New Prague","MN","56071","US","","https://maps.google.com/?cid=12045739422921903948","952-758-1480","http://www.npaschools.org/transportation","ChIJ6_HFYx9u9ocRTM8tIC8QK6c"
"New Prague Schools Auxilary Baseball Field","7th St NE","New Prague","MN","56071","US","","https://maps.google.com/?cid=16171789638272460108","952-758-1700","","ChIJH2BcmBhu9ocRTKWSg_68beA"
"MJ Academy","808 Heritage Trail NE","New Prague","MN","56071","US","<ul><li>Monday: 6:30 AM – 5:30 PM</li><li>Tuesday: 6:30 AM – 5:30 PM</li><li>Wednesday: 6:30 AM – 5:30 PM</li><li>Thursday: 6:30 AM – 5:30 PM</li><li>Friday: 6:30 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=850760420542068502","612-567-3016","http://sites.google.com/site/mjacademymn/","ChIJ9bCFbxRu9ocRFjdfTxiCzgs"
"New Prague Middle School","721 Central Ave N","New Prague","MN","56071","US","<ul><li>Monday: 7:00 AM – 3:30 PM</li><li>Tuesday: 7:00 AM – 3:30 PM</li><li>Wednesday: 7:00 AM – 3:30 PM</li><li>Thursday: 7:00 AM – 3:30 PM</li><li>Friday: 7:00 AM – 3:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=16600409398310506946","952-758-1400","http://www.npaschools.org/middle-school","ChIJ0_8oRR9u9ocRwpFaIGWAYOY"
"New Prague Area Schools, Special Services","415 1st Ave NW","New Prague","MN","56071","US","<ul><li>Monday: 7:00 AM – 4:00 PM</li><li>Tuesday: 7:00 AM – 4:00 PM</li><li>Wednesday: 7:00 AM – 4:00 PM</li><li>Thursday: 7:00 AM – 4:00 PM</li><li>Friday: 7:00 AM – 4:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=10795137078891439227","952-758-1768","http://www.npaschools.org/special-services","ChIJIQYFPyFu9ocRe-T4aPoH0JU"
"New Prague Intermediate School","","New Prague","MN","56071","US","","https://maps.google.com/?cid=3642225641090729662","","","ChIJwzQ4GyFu9ocRvkYIWezIizI"
"New Prague Area Schools","410 Central Ave N","New Prague","MN","56071","US","<ul><li>Monday: 7:30 AM – 4:00 PM</li><li>Tuesday: 7:30 AM – 4:00 PM</li><li>Wednesday: 7:30 AM – 4:00 PM</li><li>Thursday: 7:30 AM – 4:00 PM</li><li>Friday: 7:30 AM – 4:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=775596324631321620","952-758-1700","http://npaschools.org/","ChIJz8CnYR9u9ocRFJy_er94wwo"
"Central Education Campus Special Education","405 1st Ave NW","New Prague","MN","56071","US","","https://maps.google.com/?cid=16121126154586050808","952-758-1700","","ChIJSVzn3CBu9ocR-FBc_9K-ud8"
"New Prague Community Education","420 Central Ave N","New Prague","MN","56071","US","<ul><li>Monday: 8:00 AM – 4:30 PM</li><li>Tuesday: 8:00 AM – 4:30 PM</li><li>Wednesday: 8:00 AM – 4:30 PM</li><li>Thursday: 8:00 AM – 4:30 PM</li><li>Friday: 8:00 AM – 4:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13451191198061624009","952-758-1734","http://ce.np.k12.mn.us/","ChIJH2q2PyFu9ocRyfpSjiA7rLo"
"Community Services Public School","420 Central Ave N","New Prague","MN","56071","US","","https://maps.google.com/?cid=6154843931388207125","952-758-1733","","ChIJH2q2PyFu9ocRFeBcIvJlalU"
"New Prague Area Schools, Nutrition Services","410 Central Ave N","New Prague","MN","56071","US","","https://maps.google.com/?cid=7855856066380918288","952-758-1774","http://www.npaschools.org/food-service","ChIJSYcPPyFu9ocREG47Y3ibBW0"
"Saint Wenceslaus School","227 Main St E","New Prague","MN","56071","US","","https://maps.google.com/?cid=6270017849515763758","952-758-3133","http://www.swsaints.org/","ChIJgdzqASVu9ocRLui-nwOUA1c"
"Memories & Milestones Academy","1501 1st St NE","New Prague","MN","56071","US","<ul><li>Monday: 6:30 AM – 5:30 PM</li><li>Tuesday: 6:30 AM – 5:30 PM</li><li>Wednesday: 6:30 AM – 5:30 PM</li><li>Thursday: 6:30 AM – 5:30 PM</li><li>Friday: 6:30 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=10155307136304629730","952-758-5437","http://www.mmacademymn.net/","ChIJIUE_5UZu9ocR4kdtDAnm7ow"
"Sonshine Christian Preschool","1300 Main St E","New Prague","MN","56071","US","","https://maps.google.com/?cid=11930311624169299949","952-758-3513","http://www.holytrinityonline.org/sonshine-preschool","ChIJaV3Xxlpu9ocR7R9Tcjb7kKU"
"New Prague Community Pool","401 Lexington Ave S","New Prague","MN","56071","US","","https://maps.google.com/?cid=254105775591608461","952-758-6222","http://ce.np.k12.mn.us/?page_id=124","ChIJYzxqMjdu9ocRjVCDSdvDhgM"
"Eagle View Elementary School","25600 Nevada Ave","Elko New Market","MN","55020","US","<ul><li>Monday: 7:30 AM – 4:15 PM</li><li>Tuesday: 7:30 AM – 4:15 PM</li><li>Wednesday: 7:30 AM – 4:15 PM</li><li>Thursday: 7:30 AM – 4:15 PM</li><li>Friday: 7:30 AM – 4:15 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=7795029573027885655","952-758-6000","http://www.npaschools.org/eagle-view","ChIJfxH6Jn1B9ocRV_L9yRiCLWw"
"Lonsdale-New Market-Veseli","61 Church St","","MN","55054","US","","https://maps.google.com/?cid=16193669617970800625","952-461-2545","","ChIJ28epC-ND9ocR8WcvRbh4u-A"
"Glory To Glory Christian Center","25170 Dodd Blvd","Lakeville","MN","55044","US","<ul><li>Monday: Closed</li><li>Tuesday: Closed</li><li>Wednesday: 6:30 – 8:30 PM</li><li>Thursday: 7:00 – 9:00 PM</li><li>Friday: Closed</li><li>Saturday: Closed</li><li>Sunday: 10:00 AM – 12:00 PM</li></ul>","https://maps.google.com/?cid=17865313850065765165","952-985-5404","http://www.gtogcc.org/","ChIJa3-aJA9G9ocRLUMJykpY7vc"
"Glory Academy","25170 Dodd Blvd","Lakeville","MN","55044","US","<ul><li>Monday: 8:30 AM – 3:30 PM</li><li>Tuesday: 8:30 AM – 3:30 PM</li><li>Wednesday: 8:30 AM – 3:30 PM</li><li>Thursday: 8:30 AM – 3:30 PM</li><li>Friday: 8:30 AM – 3:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=12631381052227063160","952-985-3659","http://www.gloryacademy.org/","ChIJ89OQJA9G9ocReA2YoCSuS68"
"Lakeville South High School","21135 Jacquard Ave","Lakeville","MN","55044","US","","https://maps.google.com/?cid=9795549853297637568","952-232-3300","http://www.lshs.isd194.k12.mn.us/","ChIJzQogiO9H9ocRwHhvSbHI8Ic"
"Lakeview Elementary School","20500 Jacquard Ave","Lakeville","MN","55044","US","","https://maps.google.com/?cid=18251079656866108658","952-232-2600","","ChIJo11fmvhH9ocR8tTc4j_cSP0"
"McGuire Middle School","21220 Holyoke Ave","Lakeville","MN","55044","US","","https://maps.google.com/?cid=5841546857978555784","952-232-2200","http://www.mms.isd194.k12.mn.us/pages/McGuire_Middle_School","ChIJ-woffBdI9ocRiG2c4OpXEVE"
"John F. Kennedy Elementary School","21240 Holyoke Ave","Lakeville","MN","55044","US","","https://maps.google.com/?cid=6581942176333583083","952-232-2800","http://www.jfk.isd194.k12.mn.us/","ChIJ37vGKRdI9ocR61KGaInBV1s"
"John F Kennedy School","","Lakeville","MN","55044","US","","https://maps.google.com/?cid=1156166216117316759","","","ChIJxQJXIRZI9ocRl-z6RAyHCxA"
"Lakeville Careers Online","20950 Howland Ave W","Lakeville","MN","55044","US","","https://maps.google.com/?cid=15844674215775149005","952-232-2080","","ChIJG1jKFhpI9ocRzZsRJUCX49s"
"Lakeville Area Learning Center","20950 Howland Ave W","Lakeville","MN","55044","US","","https://maps.google.com/?cid=10089222671676659142","952-232-2080","http://isd194.org/area-learning-center/","ChIJzVfKFhpI9ocRxtUanZAeBIw"
"Lakeville Esy","8670 210th St W","Lakeville","MN","55044","US","","https://maps.google.com/?cid=8250052500359326545","952-232-2011","","ChIJyTrEiBdI9ocRUas91gkTfnI"
"Lakeville Area Public Schools","8670 210th St W","Lakeville","MN","55044","US","<ul><li>Monday: 7:00 AM – 4:00 PM</li><li>Tuesday: 7:00 AM – 4:00 PM</li><li>Wednesday: 7:00 AM – 4:00 PM</li><li>Thursday: 7:00 AM – 4:00 PM</li><li>Friday: 7:00 AM – 4:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6668450329444247229","952-232-2000","http://www.isd194.k12.mn.us/","ChIJTazggRdI9ocRvWbcYD4Yi1w"
"Community Education Building","8755 Upper 208th St W","Lakeville","MN","55044","US","<ul><li>Monday: 8:00 AM – 4:00 PM</li><li>Tuesday: 8:00 AM – 4:00 PM</li><li>Wednesday: 8:00 AM – 4:00 PM</li><li>Thursday: 8:00 AM – 4:00 PM</li><li>Friday: 8:00 AM – 4:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=12231063295480341607","952-232-2150","http://www.lakevilleareacommunityed.net/","ChIJ-XEb1xtI9ocRZ6RsqEN3vak"
"New Horizon Academy-Lakeville","9085 203rd St W","Lakeville","MN","55044","US","<ul><li>Monday: 6:00 AM – 6:30 PM</li><li>Tuesday: 6:00 AM – 6:30 PM</li><li>Wednesday: 6:00 AM – 6:30 PM</li><li>Thursday: 6:00 AM – 6:30 PM</li><li>Friday: 6:00 AM – 6:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=6106220405156948936","952-469-6659","http://www.newhorizonacademy.net/","ChIJTYOWaf039ocRyCufORunvVQ"
"Christian Life Academy","6300 212th St W","Farmington","MN","55024","US","","https://maps.google.com/?cid=3924255408105649894","651-463-4545","http://www.christianlife-academy.org/","ChIJxcFXgutJ9ocR5vYKiIDBdTY"
"Kindernook Preschool","20088 Kenwood Trail","Lakeville","MN","55044","US","","https://maps.google.com/?cid=5357577728327182028","952-469-4126","http://www.kindernook.com/","ChIJGTSaSf839ocRzGZ86Y7wWUo"
"Farmington High School","20655 Flagstaff Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=9039924963019056179","651-460-3204","http://www.farmington.k12.mn.us/","ChIJSUYBkho29ocRM-TvuNtDdH0"
"Farmington High School","20655 Flagstaff Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=4589315564241962189","651-252-2501","http://www.farmington.k12.mn.us/","ChIJu6tLQudJ9ocRzUTQwDCGsD8"
"Farmington Strength & Conditioning","20655 Flagstaff Ave","Farmington","MN","55024","US","<ul><li>Monday: 3:15 – 5:30 PM</li><li>Tuesday: 3:15 – 5:30 PM</li><li>Wednesday: 3:15 – 5:30 PM</li><li>Thursday: 3:15 – 5:30 PM</li><li>Friday: 3:15 – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=7291594108846469072","651-252-2661","http://www.farmingtonstrength.com/","ChIJEZ8xy91J9ocR0O8foDXyMGU"
"Lake Marion Elementary School","19875 Dodd Blvd","Lakeville","MN","55044","US","","https://maps.google.com/?cid=11719768301103901209","952-232-2700","http://isd194.org/lake-marion/","ChIJ9T-C0Ps39ocRGWouBS37pKI"
"All Saints Catholic School","19795 Holyoke Ave","Lakeville","MN","55044","US","","https://maps.google.com/?cid=8713890696484199450","952-469-3332","http://www.allsaintschurch.com/","ChIJVyMXrOU39ocRGpyFl2v17Xg"
"Robert Boeckman Middle School","800 Denmark Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=11736653867981650115","651-460-1400","http://bms.farmington.k12.mn.us/","ChIJT1vR3UBK9ocRw7jCbIL44KI"
"Dakota Prairie Area Learning Center","800 Denmark Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=3103051313128556344","651-460-1400","","ChIJT1vR3UBK9ocROEfWhrpAECs"
"Boeckman School","800 Denmark Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=3594687596023958092","651-460-1413","","ChIJT1vR3UBK9ocRTMqCt1Ll4jE"
"Robert Boeckmann Middle School Auditorium","800 Denmark Ave","Farmington","MN","55024","US","","https://maps.google.com/?cid=5343949082563160320","","","ChIJq5pIA0FK9ocRAKnzi2CFKUo"
"Small World Child Care Preschool Learning Center at FAA Farmington","90 Locust St","Farmington","MN","55024","US","<ul><li>Monday: 5:30 AM – 11:30 PM</li><li>Tuesday: 5:30 AM – 11:30 PM</li><li>Wednesday: 5:30 AM – 11:30 PM</li><li>Thursday: 5:30 AM – 11:30 PM</li><li>Friday: 5:30 AM – 11:30 PM</li><li>Saturday: 5:30 AM – 11:30 PM</li><li>Sunday: 5:30 AM – 11:30 PM</li></ul>","https://maps.google.com/?cid=2759276082379272857","651-463-2022","http://www.swlc.info/","ChIJcX0uCUNK9ocRmbJyR_rqSiY"
"Farmington Elementary School","500 Maple St","Farmington","MN","55024","US","","https://maps.google.com/?cid=12635652052645421336","651-463-9000","http://www.farmington.k12.mn.us/","ChIJNaH7MFlK9ocRGKFdZ5jaWq8"
"Farmington Business Association","Oak St","Farmington","MN","55024","US","","https://maps.google.com/?cid=6017906928577413548","888-392-5836","http://www.farmingtonbusinessassociation.com/","ChIJR4w2eGdK9ocRrAE4oXfmg1M"
"Esy","421 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=8970489903789247486","651-463-5094","http://www.rschooltoday.com/se3bin/clientschool.cgi?schoolname=school340","ChIJNbM60V1K9ocR_guWMAqVfXw"
"Farmington Area Public Schools","421 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=17236184449291040317","651-463-5000","http://www.farmington.k12.mn.us/","ChIJNbM60V1K9ocRPbYad286M-8"
"Middle School","","Farmington","MN","55024","US","","https://maps.google.com/?cid=7842893358535915763","","","ChIJe6bG8F5K9ocR87jNxvSN12w"
"Action Driving School Inc","933 8th St","Farmington","MN","55024","US","","https://maps.google.com/?cid=2575761862214685757","651-460-6669","","ChIJsdiyN_ZK9ocRPRROR8TxviM"
"Sticky Hands Child Care","717 10th St","Farmington","MN","55024","US","<ul><li>Monday: 7:00 AM – 5:00 PM</li><li>Tuesday: 7:00 AM – 5:00 PM</li><li>Wednesday: 7:00 AM – 5:00 PM</li><li>Thursday: 7:00 AM – 5:00 PM</li><li>Friday: 7:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=17990470412178708951","651-463-3898","http://stickyhandschildcare.shutterfly.com/","ChIJY_ZWG_RK9ocR11kWtIX9qvk"
"Kindergarten Center","510 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=1731687903939800755","651-463-5002","http://www.farmington.k12.mn.us/for_parents/kindergarten","ChIJHX5p_15K9ocRsy4sSPkwCBg"
"Farmington Special Education","510 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=10440316799341633975","651-463-5020","http://www.farmington.k12.mn.us/learning/special_education","ChIJwZYG9l5K9ocRtyFNV9B045A"
"Farmington Public School Food","510 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=6814577609679874447","651-463-5025","http://www.farmington.k12.mn.us/","ChIJwZYG9l5K9ocRj6lMFzs-kl4"
"Gateway Academy School","510 Walnut St","Farmington","MN","55024","US","","https://maps.google.com/?cid=15966158420281010448","651-463-5004","http://gwa.farmington.k12.mn.us/cms/One.aspx","ChIJHX5p_15K9ocRECl2rH0wk90"
"Lauren's Kiddo Kare","613 13th St","Farmington","MN","55024","US","<ul><li>Monday: 7:00 AM – 5:00 PM</li><li>Tuesday: 7:00 AM – 5:00 PM</li><li>Wednesday: 7:00 AM – 5:00 PM</li><li>Thursday: 7:00 AM – 5:00 PM</li><li>Friday: 7:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=13144759553142350122","651-344-8893","http://www.laurenskiddokare.com/","ChIJe7LQcfJK9ocRKuH4biuRa7Y"
"Rising Stars Preschool","115 Elm St","Farmington","MN","55024","US","<ul><li>Monday: 7:00 AM – 5:30 PM</li><li>Tuesday: 7:00 AM – 5:30 PM</li><li>Wednesday: 7:00 AM – 5:30 PM</li><li>Thursday: 7:00 AM – 5:30 PM</li><li>Friday: 7:00 AM – 5:30 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=11943580782827622956","651-463-4001","http://www.risingstarspreschool.net/","ChIJ7TUxLmZK9ocRLFKfMnEfwKU"
"Tiger Field 1","","Farmington","MN","55024","US","","https://maps.google.com/?cid=14285787708957008847","","","ChIJP_Hsm25K9ocRzyMGYTtQQcY"
"Levi P Dodge Middle School","4200 208th St W","Farmington","MN","55024","US","","https://maps.google.com/?cid=13073899689386479503","651-460-1500","http://dms.farmington.k12.mn.us/","ChIJ2SD6SW5K9ocRj4_4vn_Sb7U"
"Riverview Elementary School","4100 208th St W","Farmington","MN","55024","US","","https://maps.google.com/?cid=9080398319776727748","651-460-1600","http://www.farmington.k12.mn.us/","ChIJgUtcX25K9ocRxIJYbSkOBH4"
"St. Mathias School","","Hampton","MN","55031","US","","https://maps.google.com/?cid=7027447036831072317","651-437-5282","","ChIJS2q9wZO294cRPQAw1NiBhmE"
"Saint Mary's Elementary School","","New Trier","MN","55031","US","","https://maps.google.com/?cid=16641125396829988798","","","ChIJH33nZeG594cRvmfIRGEn8eY"
"Tower View Opportunity Program Area Learning Center","154 Tower View Dr","Red Wing","MN","55066","US","","https://maps.google.com/?cid=5689308488542197492","651-388-8963","","ChIJodQkqMeR94cR9BYsVe179E4"
"Burnside School","","Red Wing","MN","55066","US","","https://maps.google.com/?cid=1933010135808933976","","","ChIJGfwfwcmR94cRWAAfHHpu0xo"
"Burnside Elementary School","5001 Learning Ln","Red Wing","MN","55066","US","","https://maps.google.com/?cid=14112507452069646729","651-385-4700","http://redwing.k12.mn.us/","ChIJ1W0LbdCR94cRiRGqosGy2cM"
"Red Wing Public Schools","5001 Learning Ln","Red Wing","MN","55066","US","","https://maps.google.com/?cid=751218698036492639","651-385-5905","http://redwing.k12.mn.us/","ChIJ1W0LbdCR94cRX7kY_WzdbAo"
"Holy Family Academy","10679 182nd St","Belle Plaine","MN","56011","US","","https://maps.google.com/?cid=10725649789838881019","952-873-2582","","ChIJT9QnJeLg9YcR-_CWLKgp2ZQ"
"School Number 24","","","MN","55315","US","","https://maps.google.com/?cid=11291437630531293473","","","ChIJ00lxHZTh9YcRIdFLS7M-s5w"
"School Number 22","","Carver","MN","55315","US","","https://maps.google.com/?cid=4153233711917246562","","","ChIJqTMlpE0K9ocRYigBZA5Aozk"
"Bauer Fine Arts Academy","200 El Dorado Dr","Jordan","MN","55352","US","","https://maps.google.com/?cid=13829576686887859131","952-492-5131","http://www.bauerdance.com/","ChIJH4e8KuUM9ocRu3P5d7mG7L8"
"Stocker Private Airport-MN63","Quaker Ave","Jordan","MN","55352","US","","https://maps.google.com/?cid=16709646436261690434","","","ChIJvWBpqV8M9ocRQvy_--aW5Oc"
"Majers Blackbelt Academy","209 Water St","Jordan","MN","55352","US","","https://maps.google.com/?cid=5013929880062893511","952-843-8191","","ChIJP3_mtOYM9ocRx53dNakOlUU"
"St. John the Baptist Catholic School","215 Broadway St N","Jordan","MN","55352","US","","https://maps.google.com/?cid=7575354168491925529","952-492-2030","http://www.sjsjordan.org/","ChIJP7KB7uMM9ocRGWC89HoQIWk"
"Special Education Extended School Year","4540 Tower St SE","Prior Lake","MN","55372","US","","https://maps.google.com/?cid=4663027821386964520","952-226-0033","","ChIJkeU5Eo0V9ocRKJ6IBxlntkA"
"Precious Lamb's Preschool","16840 MN-13","Prior Lake","MN","55372","US","","https://maps.google.com/?cid=15262279388641714680","952-447-6935","","ChIJ4xkk2-wV9ocR-GHBrj2CztM"
"Five Hawks Elementary School","16620 Five Hawks Ave SE","Prior Lake","MN","55372","US","","https://maps.google.com/?cid=4327149710829022740","952-226-0100","http://www.priorlake-savage.k12.mn.us/","ChIJyTnur-sV9ocRFO7lW7wfDTw"
"Sonnet Montessori","4637 Toronto Ave SE","Prior Lake","MN","55372","US","<ul><li>Monday: 7:00 AM – 6:00 PM</li><li>Tuesday: 7:00 AM – 6:00 PM</li><li>Wednesday: 7:00 AM – 6:00 PM</li><li>Thursday: 7:00 AM – 6:00 PM</li><li>Friday: 7:00 AM – 6:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=5476053472693563780","952-226-6675","http://www.sonnetschool.com/","ChIJvVvlM9o99ocRhLHxup7Z_ks"
"Sonnet School","15033 MN-13","Prior Lake","MN","55372","US","","https://maps.google.com/?cid=8609227698855484344","952-836-9416","http://sonnetschool.com/","ChIJq6qqqt4l9ocRuBu8fPoeenc"
"Prior Lake Christian School","5690 Credit River Rd","Prior Lake","MN","55372","US","","https://maps.google.com/?cid=17267027910191824505","952-447-7527","http://www.priorlakebaptist.org/","ChIJ1Zxu8T0-9ocReT69UWbOoO8"
